CUPS;Fecha;Hora;AE_kWh;AS_KWh;AE_AUTOCONS_kWh;REAL/ESTIMADO
ES0031102460685007HA0F;08/01/2025;12;0,156;;;R
ES0031102460685007HA0F;08/01/2025;13;0,832;;;R
ES0031102460685007HA0F;08/01/2025;14;0,781;;;R
ES0031102460685007HA0F;08/01/2025;15;0,158;;;R
ES0031102460685007HA0F;08/01/2025;16;0,181;;;R
ES0031102460685007HA0F;08/01/2025;17;0,209;;;R
ES0031102460685007HA0F;08/01/2025;18;0,047;;;R
ES0031102460685007HA0F;08/01/2025;19;0,034;;;R
ES0031102460685007HA0F;08/01/2025;20;0,139;;;R
ES0031102460685007HA0F;08/01/2025;21;0,152;;;R
ES0031102460685007HA0F;08/01/2025;22;0,165;;;R
ES0031102460685007HA0F;08/01/2025;23;0,399;;;R
ES0031102460685007HA0F;08/01/2025;24;0,507;;;R
ES0031102460685007HA0F;09/01/2025;1;0,91;;;R
ES0031102460685007HA0F;09/01/2025;2;0,028;;;R
ES0031102460685007HA0F;09/01/2025;3;0,023;;;R
ES0031102460685007HA0F;09/01/2025;4;0,031;;;R
ES0031102460685007HA0F;09/01/2025;5;0,027;;;R
ES0031102460685007HA0F;09/01/2025;6;0,024;;;R
ES0031102460685007HA0F;09/01/2025;7;0,029;;;R
ES0031102460685007HA0F;09/01/2025;8;0,091;;;R
ES0031102460685007HA0F;09/01/2025;9;0,134;;;R
ES0031102460685007HA0F;09/01/2025;10;0,04;;;R
ES0031102460685007HA0F;09/01/2025;11;0,093;;;R
ES0031102460685007HA0F;09/01/2025;12;0,123;;;R
ES0031102460685007HA0F;09/01/2025;13;0,131;;;R
ES0031102460685007HA0F;09/01/2025;14;0,047;;;R
ES0031102460685007HA0F;09/01/2025;15;0,03;;;R
ES0031102460685007HA0F;09/01/2025;16;0,399;;;R
ES0031102460685007HA0F;09/01/2025;17;0,658;;;R
ES0031102460685007HA0F;09/01/2025;18;0,351;;;R
ES0031102460685007HA0F;09/01/2025;19;0,224;;;R
ES0031102460685007HA0F;09/01/2025;20;0,166;;;R
ES0031102460685007HA0F;09/01/2025;21;0,156;;;R
ES0031102460685007HA0F;09/01/2025;22;0,082;;;R
ES0031102460685007HA0F;09/01/2025;23;0,151;;;R
ES0031102460685007HA0F;09/01/2025;24;0,164;;;R
ES0031102460685007HA0F;10/01/2025;1;0,083;;;R
ES0031102460685007HA0F;10/01/2025;2;0,025;;;R
ES0031102460685007HA0F;10/01/2025;3;0,025;;;R
ES0031102460685007HA0F;10/01/2025;4;0,033;;;R
ES0031102460685007HA0F;10/01/2025;5;0,023;;;R
ES0031102460685007HA0F;10/01/2025;6;0,028;;;R
ES0031102460685007HA0F;10/01/2025;7;0,031;;;R
ES0031102460685007HA0F;10/01/2025;8;0,093;;;R
ES0031102460685007HA0F;10/01/2025;9;0,164;;;R
ES0031102460685007HA0F;10/01/2025;10;0,042;;;R
ES0031102460685007HA0F;10/01/2025;11;0,152;;;R
ES0031102460685007HA0F;10/01/2025;12;0,118;;;R
ES0031102460685007HA0F;10/01/2025;13;0,062;;;R
ES0031102460685007HA0F;10/01/2025;14;0,029;;;R
ES0031102460685007HA0F;10/01/2025;15;0,03;;;R
