CUPS;Fecha;Hora;AE_kWh;AS_KWh;AE_AUTOCONS_kWh;REAL/ESTIMADO
ES0031102460685007HA0F;07/03/2023;9;0,05;;;R
ES0031102460685007HA0F;07/03/2023;10;0,027;;;R
ES0031102460685007HA0F;07/03/2023;11;0,151;;;R
ES0031102460685007HA0F;07/03/2023;12;0,029;;;R
ES0031102460685007HA0F;07/03/2023;13;0,045;;;R
ES0031102460685007HA0F;07/03/2023;14;0,026;;;R
ES0031102460685007HA0F;07/03/2023;15;0,76;;;R
ES0031102460685007HA0F;07/03/2023;16;0,216;;;R
ES0031102460685007HA0F;07/03/2023;17;0,199;;;R
ES0031102460685007HA0F;07/03/2023;18;0,086;;;R
ES0031102460685007HA0F;07/03/2023;19;0,104;;;R
ES0031102460685007HA0F;07/03/2023;20;0,263;;;R
ES0031102460685007HA0F;07/03/2023;21;0,135;;;R
ES0031102460685007HA0F;07/03/2023;22;0,087;;;R
ES0031102460685007HA0F;07/03/2023;23;0,083;;;R
ES0031102460685007HA0F;07/03/2023;24;0,049;;;R
ES0031102460685007HA0F;08/03/2023;1;0,085;;;R
ES0031102460685007HA0F;08/03/2023;2;0,031;;;R
ES0031102460685007HA0F;08/03/2023;3;0,031;;;R
ES0031102460685007HA0F;08/03/2023;4;0,029;;;R
ES0031102460685007HA0F;08/03/2023;5;0,028;;;R
ES0031102460685007HA0F;08/03/2023;6;0,028;;;R
ES0031102460685007HA0F;08/03/2023;7;0,028;;;R
ES0031102460685007HA0F;08/03/2023;8;0,503;;;R
ES0031102460685007HA0F;08/03/2023;9;0,25;;;R
ES0031102460685007HA0F;08/03/2023;10;0,029;;;R
ES0031102460685007HA0F;08/03/2023;11;0,206;;;R
ES0031102460685007HA0F;08/03/2023;12;0,211;;;R
ES0031102460685007HA0F;08/03/2023;13;0,715;;;R
ES0031102460685007HA0F;08/03/2023;14;0,761;;;R
ES0031102460685007HA0F;08/03/2023;15;0,383;;;R
ES0031102460685007HA0F;08/03/2023;16;0,526;;;R
ES0031102460685007HA0F;08/03/2023;17;0,31;;;R
ES0031102460685007HA0F;08/03/2023;18;0,12;;;R
ES0031102460685007HA0F;08/03/2023;19;0,218;;;R
ES0031102460685007HA0F;08/03/2023;20;0,167;;;R
ES0031102460685007HA0F;08/03/2023;21;0,25;;;R
ES0031102460685007HA0F;08/03/2023;22;0,752;;;R
ES0031102460685007HA0F;08/03/2023;23;0,443;;;R
ES0031102460685007HA0F;08/03/2023;24;0,06;;;R
ES0031102460685007HA0F;09/03/2023;1;0,056;;;R
ES0031102460685007HA0F;09/03/2023;2;0,025;;;R
ES0031102460685007HA0F;09/03/2023;3;0,031;;;R
ES0031102460685007HA0F;09/03/2023;4;0,031;;;R
ES0031102460685007HA0F;09/03/2023;5;0,027;;;R
ES0031102460685007HA0F;09/03/2023;6;0,026;;;R
ES0031102460685007HA0F;09/03/2023;7;0,032;;;R
ES0031102460685007HA0F;09/03/2023;8;0,062;;;R
ES0031102460685007HA0F;09/03/2023;9;0,074;;;R
ES0031102460685007HA0F;09/03/2023;10;0,139;;;R
ES0031102460685007HA0F;09/03/2023;11;0,304;;;R
ES0031102460685007HA0F;09/03/2023;12;0,137;;;R
ES0031102460685007HA0F;09/03/2023;13;0,111;;;R
ES0031102460685007HA0F;09/03/2023;14;0,648;;;R
ES0031102460685007HA0F;09/03/2023;15;0,777;;;R
ES0031102460685007HA0F;09/03/2023;16;0,338;;;R
ES0031102460685007HA0F;09/03/2023;17;0,815;;;R
ES0031102460685007HA0F;09/03/2023;18;0,514;;;R
ES0031102460685007HA0F;09/03/2023;19;0,164;;;R
ES0031102460685007HA0F;09/03/2023;20;0,149;;;R
ES0031102460685007HA0F;09/03/2023;21;0,159;;;R
ES0031102460685007HA0F;09/03/2023;22;0,544;;;R
ES0031102460685007HA0F;09/03/2023;23;0,134;;;R
ES0031102460685007HA0F;09/03/2023;24;0,114;;;R
ES0031102460685007HA0F;10/03/2023;1;0,075;;;R
ES0031102460685007HA0F;10/03/2023;2;0,031;;;R
ES0031102460685007HA0F;10/03/2023;3;0,033;;;R
ES0031102460685007HA0F;10/03/2023;4;0,026;;;R
ES0031102460685007HA0F;10/03/2023;5;0,026;;;R
ES0031102460685007HA0F;10/03/2023;6;0,032;;;R
ES0031102460685007HA0F;10/03/2023;7;0,033;;;R
ES0031102460685007HA0F;10/03/2023;8;0,263;;;R
ES0031102460685007HA0F;10/03/2023;9;0,077;;;R
ES0031102460685007HA0F;10/03/2023;10;0,241;;;R
ES0031102460685007HA0F;10/03/2023;11;0,082;;;R
ES0031102460685007HA0F;10/03/2023;12;0,042;;;R
ES0031102460685007HA0F;10/03/2023;13;0,232;;;R
ES0031102460685007HA0F;10/03/2023;14;1,159;;;R
ES0031102460685007HA0F;10/03/2023;15;0,386;;;R
ES0031102460685007HA0F;10/03/2023;16;0,075;;;R
ES0031102460685007HA0F;10/03/2023;17;0,079;;;R
ES0031102460685007HA0F;10/03/2023;18;0,241;;;R
ES0031102460685007HA0F;10/03/2023;19;0,097;;;R
ES0031102460685007HA0F;10/03/2023;20;0,034;;;R
ES0031102460685007HA0F;10/03/2023;21;0,105;;;R
ES0031102460685007HA0F;10/03/2023;22;0,923;;;R
ES0031102460685007HA0F;10/03/2023;23;0,349;;;R
ES0031102460685007HA0F;10/03/2023;24;0,42;;;R
ES0031102460685007HA0F;11/03/2023;1;0,611;;;R
ES0031102460685007HA0F;11/03/2023;2;0,855;;;R
ES0031102460685007HA0F;11/03/2023;3;0,876;;;R
ES0031102460685007HA0F;11/03/2023;4;0,365;;;R
ES0031102460685007HA0F;11/03/2023;5;0,24;;;R
ES0031102460685007HA0F;11/03/2023;6;0,169;;;R
